exposure_id,biomarker_id,name,mean,sd,distribution
AB_vacc,A_antibody,boost_long,6,2,log-normal
AB_vacc,A_antibody,boost_short,4,2,log-normal
AB_vacc,A_antibody,wane_long,0.000083,0.000005,log-normal
AB_vacc,A_antibody,wane_short,0.0083,0.0005,log-normal
AB_vacc,A_antibody,titer_ceiling_threshold,2,,
AB_vacc,A_antibody,titer_ceiling_gradient,0.45,,
NA,A_antibody,obs_sd,,1,normal
AB_vacc,B_antibody,boost_long,40,5,log-normal
AB_vacc,B_antibody,boost_short,25,5,log-normal
AB_vacc,B_antibody,wane_long,0.000083,0.000005,log-normal
AB_vacc,B_antibody,wane_short,0.0083,0.0005,log-normal
AB_vacc,B_antibody,titer_ceiling_threshold,20,,
AB_vacc,B_antibody,titer_ceiling_gradient,0.045,,
NA,B_antibody,obs_sd,,3,normal
A_ifxn,A_antibody,boost_long,8,2,log-normal
A_ifxn,A_antibody,boost_short,6,2,log-normal
A_ifxn,A_antibody,wane_long,0.000083,0.000005,log-normal
A_ifxn,A_antibody,wane_short,0.0083,0.0005,log-normal
A_ifxn,A_antibody,titer_ceiling_threshold,2,,
A_ifxn,A_antibody,titer_ceiling_gradient,0.45,,
A_ifxn,A_antibody,titer_prot_midpoint,7,,
A_ifxn,A_antibody,titer_prot_width,0.9,,
B_ifxn,B_antibody,boost_long,60,5,log-normal
B_ifxn,B_antibody,boost_short,45,5,log-normal
B_ifxn,B_antibody,wane_long,0.000083,0.000005,log-normal
B_ifxn,B_antibody,wane_short,0.0083,0.0005,log-normal
B_ifxn,B_antibody,titer_ceiling_threshold,20,,
B_ifxn,B_antibody,titer_ceiling_gradient,0.045,,
B_ifxn,B_antibody,titer_prot_midpoint,50,,
B_ifxn,B_antibody,titer_prot_width,0.1,,
