exposure_id,antigen_id,name,mean,sd,distribution
1,1,boost_long,3,2,log-normal
1,1,boost_short,2,2,log-normal
1,1,wane_long,0.025,0.01,log-normal
1,1,wane_short,0.2,0.05,log-normal
1,1,titer_ceiling_threshold,5,,
1,1,titer_ceiling_gradient,0.1,,
,1,obs_sd,0.5,1,
1,2,boost_long,4,2,log-normal
1,2,boost_short,3,2,log-normal
1,2,wane_long,0.025,0.01,log-normal
1,2,wane_short,0.2,0.05,log-normal
1,2,titer_ceiling_threshold,4,,
1,2,titer_ceiling_gradient,0.1,,
,2,obs_sd,0.5,0.5,
2,1,boost_long,6,2,log-normal
2,1,boost_short,5,2,log-normal
2,1,wane_long,0.025,0.01,log-normal
2,1,wane_short,0.2,0.05,log-normal
2,1,titer_ceiling_threshold,5,,
2,1,titer_ceiling_gradient,0.1,,
2,1,titer_prot_midpoint,8,,
2,1,titer_prot_width,1.5,,
