exposure_id,antigen_id,name,mean,sd,distribution
1,1,boost_long,6,2,log-normal
1,1,boost_short,4,2,log-normal
1,1,wane_long,0.000083,0.000005,log-normal
1,1,wane_short,0.0083,0.0005,log-normal
1,1,titer_ceiling_threshold,2,,
1,1,titer_ceiling_gradient,0.45,,
,1,obs_sd,,1,normal
1,2,boost_long,40,5,log-normal
1,2,boost_short,25,5,log-normal
1,2,wane_long,0.000083,0.000005,log-normal
1,2,wane_short,0.0083,0.0005,log-normal
1,2,titer_ceiling_threshold,20,,
1,2,titer_ceiling_gradient,0.045,,
,2,obs_sd,,3,normal
2,1,boost_long,8,2,log-normal
2,1,boost_short,6,2,log-normal
2,1,wane_long,0.000083,0.000005,log-normal
2,1,wane_short,0.0083,0.0005,log-normal
2,1,titer_ceiling_threshold,2,,
2,1,titer_ceiling_gradient,0.45,,
2,1,titer_prot_midpoint,7,,
2,1,titer_prot_width,0.5,,
3,2,boost_long,60,5,log-normal
3,2,boost_short,45,5,log-normal
3,2,wane_long,0.000083,0.000005,log-normal
3,2,wane_short,0.0083,0.0005,log-normal
3,2,titer_ceiling_threshold,20,,
3,2,titer_ceiling_gradient,0.045,,
3,2,titer_prot_midpoint,50,,
3,2,titer_prot_width,0.1,,
