example,individuals,times,exposures,biomarkers,mean,range_min,range_max
README,100,120,2,1,3.582,2.336,4.965
README,250,120,2,1,13.97,11.17,17.77
README,500,120,2,1,29.28,24.29,40.68
README,1000,120,2,1,80.48,66.36,89.78
README,100,180,2,1,6.504,4.811,8.061
README,250,180,2,1,18.34,14.72,25.17
README,500,180,2,1,51.07,43.08,69.54
README,1000,180,2,1,150,133.3,200.5
README,100,240,2,1,9.059,6.411,10.823
README,250,240,2,1,25.61,20.53,37.82
README,500,240,2,1,75.74,63.47,109.09
README,1000,240,2,1,237,190,310.8
CS1,100,120,2,1,6.665,5.54,7.942
CS1,250,120,2,1,17.09,13.92,19.75
CS1,500,120,2,1,41.09,32,47.5
CS1,1000,120,2,1,93.6,80.7,109.4
CS1,100,180,2,1,9.633,7.723,11.533
CS1,250,180,2,1,25.45,22.08,27.65
CS1,500,180,2,1,60.23,52.75,72.92
CS1,1000,180,2,1,165.9,127,190.6
CS1,100,240,2,1,12.77,11.02,14.55
CS1,250,240,2,1,34.7,30.32,38.77
CS1,500,240,2,1,80.37,73.21,92.94
CS1,1000,240,2,1,236.8,181.2,283.7
CS2,100,120,3,2,42.28,34.92,50.44
CS2,250,120,3,2,136.3,110.4,163.3
CS2,500,120,3,2,376.8,307.5,476
CS2,1000,120,3,2,1092.1,853.3,1726.5
CS2,100,180,3,2,81.57,66.27,100.36
CS2,250,180,3,2,262.5,200.9,346.4
CS2,500,180,3,2,912.5,772.2,1024.2
CS2,1000,180,3,2,2573,1582,3511
CS2,100,240,3,2,112.04,89.12,128.84
CS2,250,240,3,2,439.2,377.1,534.6
CS2,500,240,3,2,1309.3,798.5,1886.8
CS2,1000,240,3,2,4312,2849,5757
